,City,Lat.,Lon.,Max. Temp.,Humidity,Cloudiness,Windspeed,Country,Date
42,Mahébourg,-20.4081,57.7,300.15,83,75,5.14,MU,1618635189
43,New Norfolk,-42.7826,147.0587,289.82,74,98,0.89,AU,1618635190
44,Kapaa,22.0752,-159.319,295.15,83,90,3.09,US,1618635190
45,Jamestown,42.097,-79.2353,275.93,93,90,5.66,US,1618635190
46,Busselton,-33.65,115.3333,296.48,50,28,0.89,AU,1618635191
47,Agirish,61.9247,63.0231,275.76,69,100,6.39,RU,1618635191
48,Lebu,-37.6167,-73.65,284.64,84,41,3.13,CL,1618635191
50,Lavrentiya,65.5833,-171.0,272.82,91,100,3.5,RU,1618635192
51,Talnakh,69.4865,88.3972,251.26,88,100,1.52,RU,1618635192
52,Hong Kong,22.2855,114.1577,297.04,87,100,1.34,HK,1618635193
53,Nikolskoye,59.7035,30.7861,279.26,45,0,5.0,RU,1618635193
54,Worland,44.0169,-107.9554,274.26,86,20,2.57,US,1618635193
55,Saint Paul Harbor,57.79,-152.4072,279.15,75,90,5.66,US,1618635094
56,Iqaluit,63.7506,-68.5145,262.15,73,75,0.6,CA,1618635194
58,Pevek,69.7008,170.3133,267.51,87,95,2.79,RU,1618635194
59,Catuday,16.2923,119.8062,301.42,66,97,4.59,PH,1618635195
60,Bayangol,50.6977,103.4656,286.34,21,2,5.71,RU,1618635195
61,Pisco,-13.7,-76.2167,293.15,77,0,3.6,PE,1618635195
62,Cradock,-32.1642,25.6192,281.55,58,8,1.69,ZA,1618635196
63,Constitución,-35.3333,-72.4167,285.76,86,74,1.94,CL,1618635015
64,Dubna,56.7333,37.1667,280.74,78,95,4.54,RU,1618635196
65,Cantanhede,-3.6333,-44.3767,296.5,98,100,1.3,BR,1618635197
66,Korla,41.7597,86.1469,293.73,15,90,2.9,CN,1618635197
67,Katsuura,35.1333,140.3,292.04,66,100,0.89,JP,1618635197
68,Necochea,-38.5473,-58.7368,288.61,90,1,2.37,AR,1618635198
69,Hervey Bay,-25.2986,152.8535,301.15,51,40,3.6,AU,1618635198
70,Mayo,38.8876,-76.5119,284.15,50,1,4.12,US,1618635198
71,Carutapera,-1.195,-46.02,297.19,94,100,1.94,BR,1618635199
73,Margate,51.3813,1.3862,278.15,80,3,0.89,GB,1618635199
75,Santa Fe,-31.6333,-60.7,294.26,92,0,2.27,AR,1618635182
76,Peterhead,57.5058,-1.7981,277.59,93,97,0.51,GB,1618635200
77,Yellowknife,62.456,-114.3525,275.15,69,40,3.09,CA,1618635047
79,Hobart,-42.8794,147.3294,290.15,51,75,6.17,AU,1618635200
80,Grand Gaube,-20.0064,57.6608,302.04,77,30,3.13,MU,1618635201
81,Pitimbu,-7.4706,-34.8086,297.15,100,20,1.54,BR,1618635201
82,Port-Gentil,-0.7193,8.7815,300.79,77,100,2.21,GA,1618635201
84,Zhangye,38.9342,100.4517,289.23,11,59,1.18,CN,1618635202
85,Channel-Port aux Basques,47.5702,-59.1367,274.98,76,27,10.01,CA,1618635202
86,Olafsvik,64.8945,-23.7142,276.59,75,82,11.92,IS,1618635203
87,Hilo,19.7297,-155.09,297.15,64,90,1.54,US,1618635203
88,Tuktoyaktuk,69.4541,-133.0374,266.15,86,90,1.03,CA,1618635203
89,Mount Isa,-20.7333,139.5,303.15,19,15,6.69,AU,1618635204
90,Chokurdakh,70.6333,147.9167,262.99,85,7,4.22,RU,1618635204
92,Tuatapere,-46.1333,167.6833,286.48,67,96,2.24,NZ,1618635205
93,Denpasar,-8.65,115.2167,303.15,74,20,4.12,ID,1618635205
94,Chui,-33.6971,-53.4616,290.86,93,0,1.56,UY,1618635069
95,Muzhi,65.3667,64.6667,264.84,83,100,4.47,RU,1618635205
96,Topolobampo,25.6,-109.05,293.15,67,85,1.72,MX,1618635206
97,Barstow,34.8986,-117.0228,292.15,12,1,3.6,US,1618635206
98,Kangaatsiaq,68.3065,-53.4641,259.6,79,100,4.82,GL,1618635207
99,Anadyr,64.75,177.4833,275.15,75,40,15.0,RU,1618635207
100,Saskylakh,71.9167,114.0833,257.7,91,100,6.67,RU,1618635207
101,Santa Maria,-29.6842,-53.8069,291.61,92,91,1.11,BR,1618635208
103,Leningradskiy,69.3833,178.4167,273.07,78,80,1.79,RU,1618635208
105,Jiwani,25.05,61.7417,302.14,61,64,2.88,PK,1618635209
106,Bengkulu,-3.8004,102.2655,301.42,70,91,2.24,ID,1618635209
107,Kumul,42.8,93.45,293.99,7,1,1.92,CN,1618634947
108,Paphos,34.7667,32.4167,290.15,45,0,1.03,CY,1618635209
109,Yar-Sale,66.8333,70.8333,257.2,91,34,3.85,RU,1618635210
110,Klaksvík,62.2266,-6.589,281.15,100,90,5.66,FO,1618635210
111,Tiksi,71.6872,128.8694,260.38,93,100,5.55,RU,1618635210
112,Caravelas,-17.7125,-39.2481,295.24,88,15,1.37,BR,1618635211
113,Whyalla,-33.0333,137.5833,292.15,52,38,5.66,AU,1618635211
114,Trørød,55.8395,12.5443,279.82,60,98,0.45,DK,1618635212
115,Andenes,69.3143,16.1194,277.59,81,0,6.69,NO,1618635212
116,Kamaishi,39.2667,141.8833,286.15,88,75,6.69,JP,1618635212
118,Hermanus,-34.4187,19.2345,290.37,67,0,0.45,ZA,1618635213
119,San Vicente,-26.6167,-54.1333,287.76,98,98,1.16,AR,1618635213
120,Bluff,-46.6,168.3333,286.48,67,98,2.24,NZ,1618635213
122,Esperance,-33.8667,121.9,294.15,46,40,1.54,AU,1618635214
124,Muros,42.7762,-9.0603,280.93,66,66,3.54,ES,1618635214
125,Pacific Grove,36.6177,-121.9166,284.26,82,90,3.6,US,1618635215
126,George Town,5.4112,100.3354,303.15,74,40,2.06,MY,1618635215
127,Gönen,40.1049,27.654,285.93,82,75,8.23,TR,1618635215
128,Sioux Lookout,50.1001,-91.917,272.15,74,1,1.54,CA,1618635216
129,Laguna,38.421,-121.4238,289.15,48,1,3.6,US,1618635216
130,Basco,20.4487,121.9702,299.53,72,58,4.71,PH,1618635216
131,Ancud,-41.8697,-73.8203,283.71,100,20,2.06,CL,1618635217
132,Chihuahua,28.5,-106.0,291.83,17,100,3.45,MX,1618635217
133,Prince Rupert,54.3161,-130.3201,282.15,87,1,1.03,CA,1618635217
134,Tawang Town,27.5833,91.8667,285.43,57,52,3.14,IN,1618635218
136,Upernavik,72.7868,-56.1549,248.87,97,78,3.19,GL,1618635218
137,Adrar,20.5022,-10.0711,292.91,31,0,4.5,MR,1618635219
138,Punta Arenas,-53.15,-70.9167,281.15,76,0,7.2,CL,1618635219
139,Aliwal North,-30.6937,26.7114,280.08,53,82,1.51,ZA,1618635219
140,Qandala,11.472,49.8728,302.64,55,5,3.59,SO,1618635026
141,Kashgar,39.4547,75.9797,291.15,27,40,3.0,CN,1618635220
142,Lodwar,3.1191,35.5973,302.69,48,4,6.19,KE,1618635220
143,Vanimo,-2.6741,141.3028,298.06,91,100,2.29,PG,1618635220
144,Port Macquarie,-31.4333,152.9167,288.15,100,90,3.6,AU,1618635221
145,Najrān,17.4924,44.1277,294.15,30,51,1.03,SA,1618635221
147,Meulaboh,4.1363,96.1285,302.24,62,100,1.31,ID,1618635222
148,Butaritari,3.0707,172.7902,301.22,74,65,4.59,KI,1618635222
149,Dingli,35.8614,14.3822,287.15,82,75,7.2,MT,1618635222
150,Dikson,73.5069,80.5464,254.55,82,99,2.58,RU,1618635223
151,Jork,53.5333,9.6833,278.15,56,75,3.09,DE,1618635223
152,Sumenep,-7.0167,113.8667,302.68,65,14,3.88,ID,1618635223
153,Mataura,-46.1927,168.8643,286.48,67,73,2.24,NZ,1618635224
154,San Julián,21.0167,-102.1667,292.98,20,3,5.51,MX,1618635224
155,Karema,-6.8205,30.4389,293.81,90,83,4.06,TZ,1618635224
156,Cape Town,-33.9258,18.4232,290.37,94,0,3.09,ZA,1618635053
157,Lázaro Cárdenas,17.9583,-102.2,296.68,77,59,2.13,MX,1618635225
160,Middelburg,-25.7751,29.4648,281.8,79,68,5.72,ZA,1618635225
161,Palmer,42.1584,-72.3287,277.15,75,90,6.69,US,1618635226
162,Ribeira Brava,32.65,-17.0667,287.59,85,12,4.02,PT,1618635226
163,Entre Rios,-11.9419,-38.0844,294.38,92,58,1.28,BR,1618635226
164,Östersund,63.1792,14.6357,273.15,86,39,0.79,SE,1618635227
165,Andapa,-14.65,49.65,297.06,86,37,0.28,MG,1618635227
166,Ugoofaaru,5.6667,73.0,302.15,66,100,1.85,MV,1618635227
167,Vakhrushev,48.9833,142.9667,276.37,94,92,4.99,RU,1618635228
168,Juneau,58.3019,-134.4197,282.15,71,90,2.13,US,1618634941
169,Oussouye,12.485,-16.5469,294.39,78,14,3.12,SN,1618635228
170,Codrington,-38.2667,141.9667,290.1,64,100,6.3,AU,1618635229
171,Cidreira,-30.1811,-50.2056,293.28,83,100,2.69,BR,1618635229
172,Hithadhoo,-0.6,73.0833,300.88,61,40,1.17,MV,1618635229
173,Puerto del Rosario,28.5004,-13.8627,292.15,82,90,6.69,ES,1618635230
174,Glendive,47.1053,-104.7125,276.15,56,1,3.09,US,1618635230
175,Shakawe,-18.3667,21.85,286.9,47,12,2.72,BW,1618635230
176,Sur,22.5667,59.5289,305.22,37,73,1.6,OM,1618635183
177,Mount Gambier,-37.8333,140.7667,290.15,63,75,6.69,AU,1618635231
179,Liepāja,56.5419,21.0367,280.15,61,90,2.06,LV,1618635232
180,Qaanaaq,77.484,-69.3632,249.99,96,97,1.68,GL,1618635232
181,Umm Kaddadah,13.6017,26.6876,296.71,10,14,7.14,SD,1618635232
182,Arlit,18.7369,7.3853,299.6,7,67,2.29,NE,1618635233
183,Roebourne,-20.7833,117.1333,306.75,31,0,6.3,AU,1618635233
184,Alice Springs,-23.7,133.8833,296.48,26,0,7.2,AU,1618635233
185,Port Alfred,-33.5906,26.891,288.22,69,2,7.57,ZA,1618635234
186,Saldanha,-33.0117,17.9442,288.15,63,0,1.54,ZA,1618635007
188,Bambous Virieux,-20.3428,57.7575,302.04,83,75,5.14,MU,1618635234
189,Vardø,70.3705,31.1107,277.58,78,100,13.3,NO,1618635235
190,Itoman,26.1247,127.6694,298.15,78,75,9.26,JP,1618635235
191,Barra de Tecoanapa,16.5167,-98.75,298.07,71,27,2.88,MX,1618635235
192,Watertown,42.3709,-71.1828,276.48,97,90,5.66,US,1618635236
193,Mumford,5.2618,-0.759,299.64,79,99,3.84,GH,1618635236
194,Kavaratti,10.5669,72.642,302.26,70,9,2.61,IN,1618635236
195,Keti Bandar,24.1447,67.4497,302.51,62,2,5.06,PK,1618635237
196,Yulara,-25.2406,130.9889,297.15,22,0,8.75,AU,1618635237
197,Ponta do Sol,32.6667,-17.1,287.59,71,13,1.34,PT,1618635237
198,Pochutla,15.7432,-96.4661,298.71,76,6,0.89,MX,1618635238
199,Qui Nhon,13.7667,109.2333,301.37,62,75,4.91,VN,1618635238
200,Severo-Kuril'sk,50.6789,156.125,276.02,62,88,2.63,RU,1618635238
201,Gazimurskiy Zavod,51.5461,118.3266,286.66,26,11,5.1,RU,1618635239
203,Arraial do Cabo,-22.9661,-42.0278,296.47,78,17,7.39,BR,1618635016
204,Liverpool,53.4106,-2.9779,277.59,93,20,2.06,GB,1618635239
206,Beihai,21.4833,109.1,300.67,71,83,3.32,CN,1618635240
207,Bud,39.447,-86.1758,282.59,79,100,3.21,US,1618635240
208,Beringovskiy,63.05,179.3167,273.83,86,90,7.24,RU,1618635241
209,Esna,25.2934,32.554,293.15,24,0,1.03,EG,1618635241
210,Sitka,57.0531,-135.33,281.15,87,75,2.57,US,1618635241
211,Kruisfontein,-34.0033,24.7314,283.48,65,3,2.99,ZA,1618635242
212,Seoul,37.5683,126.9778,287.15,35,75,4.12,KR,1618634952
213,High Prairie,55.4334,-116.4858,285.15,26,99,1.03,CA,1618635242
215,Vryburg,-26.9566,24.7284,284.37,37,3,2.0,ZA,1618635243
216,San Ramon,37.7799,-121.978,284.82,76,1,4.63,US,1618635202
217,Bandarbeyla,9.4942,50.8122,301.25,65,22,3.05,SO,1618635243
218,Lüderitz,-26.6481,15.1594,298.8,34,91,6.08,NA,1618635243
219,Narsaq,60.9167,-46.05,265.15,35,3,2.57,GL,1618635244
220,Belyy Yar,53.6039,91.3903,273.15,93,90,6.0,RU,1618635244
221,Pavlodar,52.3,76.95,281.15,39,0,7.0,KZ,1618635245
223,Comodoro Rivadavia,-45.8667,-67.5,286.15,54,0,4.12,AR,1618635057
224,Tsévié,6.4261,1.2133,301.15,83,20,2.57,TG,1618635245
226,Port Lincoln,-34.7333,135.8667,291.97,51,6,3.73,AU,1618635246
227,Chimbote,-9.0853,-78.5783,292.28,87,100,2.71,PE,1618635246
228,Zuwārah,32.9312,12.082,289.57,80,100,3.34,LY,1618635246
229,Ulaangom,49.9811,92.0667,286.19,25,49,2.16,MN,1618635247
230,East London,-33.0153,27.9116,286.15,71,0,3.09,ZA,1618635247
231,São Borja,-28.6606,-56.0044,291.72,94,98,2.76,BR,1618635247
232,Mayumba,-3.432,10.6554,298.77,89,100,3.22,GA,1618635248
233,Kedrovyy,56.1667,91.8167,271.15,74,40,6.0,RU,1618635248
234,Naryan-Mar,67.6713,53.087,272.09,92,100,6.06,RU,1618635248
236,Mar del Plata,-38.0023,-57.5575,289.82,100,11,0.91,AR,1618635249
237,Divnoye,45.9089,43.3547,284.8,92,100,3.72,RU,1618635249
238,Labuhan,-6.8844,112.2051,303.19,63,40,2.62,ID,1618635250
239,Conde,-7.2597,-34.9075,297.15,100,20,1.54,BR,1618635066
240,Lerwick,60.1545,-1.1494,279.14,87,99,5.24,GB,1618635250
241,Port Elizabeth,-33.918,25.5701,287.15,77,0,4.12,ZA,1618635250
242,Airai,-8.9266,125.4092,296.37,53,24,2.39,TL,1618635251
243,Saint George,37.1041,-113.5841,286.48,41,1,9.26,US,1618635062
244,Kaitangata,-46.2817,169.8464,288.15,41,62,1.79,NZ,1618635251
246,Cairns,-16.9167,145.7667,303.15,58,75,6.17,AU,1618635126
247,Oodweyne,9.4092,45.064,296.74,60,5,5.44,SO,1618635252
248,Flinders,-34.5833,150.8552,292.59,66,100,0.45,AU,1618635252
249,Tomar do Geru,-11.3733,-37.8406,293.67,96,11,1.43,BR,1618635253
251,Fazilpur,32.1833,75.0667,299.15,44,20,2.06,PK,1618635253
252,Aklavik,68.2191,-135.0107,271.15,74,98,2.57,CA,1618635253
253,Pangai,-19.8,-174.35,300.15,61,20,2.06,TO,1618635254
254,Dutlwe,-23.9833,23.9,290.2,67,17,5.96,BW,1618635254
255,Rundu,-17.9333,19.7667,286.56,42,32,2.51,NA,1618635254
256,Kavieng,-2.5744,150.7967,300.82,74,83,2.36,PG,1618635255
257,La Ronge,55.1001,-105.2842,275.15,55,73,0.51,CA,1618635255
258,Nemuro,43.3236,145.575,283.15,66,75,5.66,JP,1618635255
259,Portland,45.5234,-122.6762,294.15,19,1,2.06,US,1618635228
260,Batticaloa,7.7102,81.6924,301.77,62,100,1.37,LK,1618635256
261,Rimouski,48.4488,-68.524,275.15,87,100,3.6,CA,1618635071
262,Barrow,71.2906,-156.7887,269.15,80,1,4.12,US,1618635256
263,Nizhniy Baskunchak,48.2198,46.8311,289.1,52,99,3.1,RU,1618635257
264,Río Gallegos,-51.6226,-69.2181,280.15,57,0,3.09,AR,1618635089
265,Ranau,5.9538,116.6641,304.15,70,20,3.6,MY,1618635257
266,Matara,5.9485,80.5353,302.81,65,89,2.76,LK,1618635258
267,Aykhal,66.0,111.5,262.46,90,100,11.92,RU,1618635258
268,Raja,8.4596,25.678,297.77,15,68,0.5,SS,1618635258
269,Koutiala,12.3917,-5.4642,302.5,44,99,8.57,ML,1618635259
270,Hūn,29.1268,15.9477,301.85,11,99,2.15,LY,1618635191
271,Tigil',57.8,158.6667,272.36,78,94,9.5,RU,1618635259
273,Chapais,49.7834,-74.8492,276.15,70,40,3.09,CA,1618635260
274,Ligayan,4.6533,119.4706,301.67,73,66,4.23,PH,1618635260
275,Birao,10.2849,22.7882,296.4,11,87,3.06,CF,1618635260
276,Coquimbo,-29.9533,-71.3436,288.15,88,90,2.06,CL,1618635166
277,Verāval,20.9,70.3667,304.22,52,0,4.22,IN,1618635261
278,São Gabriel da Cachoeira,-0.1303,-67.0892,295.7,99,100,0.73,BR,1618635261
279,Wukari,7.85,9.7833,298.78,72,100,4.35,NG,1618635261
280,Nizhniy Kuranakh,58.8353,125.4869,278.89,66,100,6.9,RU,1618635262
281,Muncar,-8.4333,114.3333,303.45,60,42,2.78,ID,1618635262
282,Kawalu,-7.3817,108.2082,303.53,54,77,2.59,ID,1618635262
283,Barentu,15.1139,37.5928,301.09,36,15,2.94,ER,1618635003
284,Fairhope,30.523,-87.9033,290.15,94,90,3.67,US,1618635057
285,Blagoyevo,63.3667,47.9167,277.79,69,87,4.32,RU,1618635263
286,Cam Ranh,11.9214,109.1591,303.15,66,20,4.12,VN,1618635263
287,Cheney,47.4874,-117.5758,287.15,24,20,1.54,US,1618635264
288,Nhulunbuy,-12.2333,136.7667,305.15,55,75,6.69,AU,1618635264
289,Jūrmala,56.968,23.7704,282.15,46,0,3.09,LV,1618635264
291,Ngama,11.7833,17.1667,299.78,8,67,4.27,TD,1618635265
292,Pyaozerskiy,65.8333,31.1667,275.74,86,13,2.34,RU,1618635265
293,Popondetta,-8.7537,148.2534,303.39,67,98,2.43,PG,1618635266
294,Sabha,27.0377,14.4283,300.6,10,86,4.22,LY,1618635266
296,Verkhnyaya Inta,65.9811,60.3094,268.93,87,100,5.09,RU,1618635266
297,Joensuu,62.6012,29.7632,274.82,80,0,0.51,FI,1618635267
299,Mahon,39.8885,4.2658,283.15,57,20,5.14,ES,1618635267
300,Rio Verde de Mato Grosso,-18.9181,-54.8442,293.95,81,0,2.77,BR,1618635002
301,Fortuna,40.5982,-124.1573,282.59,100,90,0.39,US,1618635237
302,Anchorage,61.2181,-149.9003,283.15,52,1,2.06,US,1618635010
304,Krasnosel'kup,65.7,82.4667,262.66,90,100,6.3,RU,1618635268
305,Belmonte,-15.8631,-38.8828,294.15,88,0,2.57,BR,1618635269
306,Hasaki,35.7333,140.8333,291.15,63,75,6.17,JP,1618635269
307,Chicama,-7.8447,-79.1469,294.35,78,100,2.79,PE,1618635269
309,Praia,14.9215,-23.5087,293.15,77,20,8.75,CV,1618635270
310,Khatanga,71.9667,102.5,262.33,85,100,4.77,RU,1618635270
311,Copiapó,-27.3667,-70.3333,289.15,77,90,0.84,CL,1618635270
313,Newtownards,54.5924,-5.6909,276.15,93,35,2.44,GB,1618635271
314,Lowestoft,52.4752,1.7516,274.26,93,3,1.03,GB,1618635271
315,Ucluelet,48.9329,-125.5528,285.37,72,5,2.14,CA,1618635041
316,Cabo San Lucas,22.8909,-109.9124,294.26,81,89,5.77,MX,1618635214
317,Béjar,40.3864,-5.7634,277.04,67,1,0.45,ES,1618635272
318,Zhuhai,22.2769,113.5678,296.15,88,40,4.12,CN,1618635272
320,Ternate,0.8,127.4,301.82,73,58,5.29,ID,1618635273
321,Geraldton,-28.7667,114.6,303.15,17,100,5.14,AU,1618635273
322,Cherskiy,68.75,161.3,268.46,75,84,4.4,RU,1618635273
323,Tay Ninh,11.3,106.1,307.36,44,64,1.56,VN,1618635274
324,Tutóia,-2.7619,-42.2744,299.1,84,100,3.8,BR,1618635274
325,Zelenogorskiy,55.0333,87.0,272.15,64,75,6.0,RU,1618635274
326,Jalu,29.0331,21.5482,300.57,13,8,5.79,LY,1618635275
327,Hamilton,39.1834,-84.5333,281.48,87,1,0.8,US,1618635026
328,Olinda,-8.0089,-34.8553,296.15,88,40,2.06,BR,1618635275
329,Norman Wells,65.282,-126.8329,279.15,56,75,1.03,CA,1618635276
330,Vestmannaeyjar,63.4427,-20.2734,279.11,71,100,8.54,IS,1618635276
331,Sechura,-5.5569,-80.8222,295.31,71,99,5.28,PE,1618635276
332,Camacha,33.0833,-16.3333,289.15,72,75,4.63,PT,1618635277
333,Robertsport,6.7533,-11.3686,300.14,79,100,4.29,LR,1618635277
334,Dingle,10.9995,122.6711,304.23,58,98,5.26,PH,1618635277
335,Nago,26.5881,127.9761,298.15,73,90,7.2,JP,1618635278
336,Araouane,18.9048,-3.5265,301.03,17,99,5.21,ML,1618635278
337,Salalah,17.0151,54.0924,300.15,74,0,1.03,OM,1618635278
339,Aden,12.7794,45.0367,300.56,70,2,7.0,YE,1618635279
340,Coyhaique,-45.5752,-72.0662,280.47,95,100,2.1,CL,1618635279
341,Moose Factory,51.2585,-80.6094,272.15,93,90,3.6,CA,1618635279
342,Chāndpur,29.15,78.2667,307.0,21,61,1.82,IN,1618635280
343,Asău,46.4333,26.4,276.48,87,0,1.03,RO,1618635280
344,Taitung City,22.7583,121.1444,299.15,73,75,7.72,TW,1618635280
345,Guerrero Negro,27.9769,-114.0611,287.97,75,0,8.61,MX,1618635281
346,Malakal,9.5334,31.6605,303.36,12,13,1.5,SS,1618635281
347,San Jose,37.3394,-121.895,285.15,76,1,5.14,US,1618635094
348,Dawlatabad,36.4141,64.9053,295.56,19,3,0.79,AF,1618635282
349,Henties Bay,-22.116,14.2845,294.26,74,89,3.13,NA,1618635282
350,Saurimo,-9.6608,20.3916,291.4,95,100,3.08,AO,1618635256
351,San Patricio,28.017,-97.5169,295.15,83,90,10.8,US,1618635282
352,Mendoza,-32.8908,-68.8272,294.15,56,40,2.57,AR,1618635283
353,Kahului,20.8947,-156.47,297.15,69,40,4.63,US,1618635033
354,Lebanon,36.2081,-86.2911,284.82,76,40,2.08,US,1618635098
355,Atar,20.5169,-13.0499,294.16,32,0,4.6,MR,1618635283
356,Torbay,47.6666,-52.7314,274.26,93,90,6.69,CA,1618635284
357,Warrnambool,-38.3833,142.4833,288.15,84,100,3.58,AU,1618635284
359,Kuusamo,65.9667,29.1833,271.15,80,0,1.03,FI,1618635285
360,Broken Hill,-31.95,141.4333,292.15,30,0,7.72,AU,1618635285
361,Tayu,-6.5397,111.0518,304.57,55,80,2.46,ID,1618635285
362,Makakilo City,21.3469,-158.0858,297.15,64,90,2.57,US,1618635286
363,Iisalmi,63.5592,27.1907,272.15,86,0,0.51,FI,1618635286
364,Petropavlovsk-Kamchatskiy,53.0452,158.6483,279.15,33,51,6.0,RU,1618635286
365,Sanāwad,22.1833,76.0667,302.15,34,0,4.63,IN,1618635287
366,Hackettstown,40.854,-74.8291,279.82,84,100,3.75,US,1618634991
367,Cayenne,4.9333,-52.3333,300.37,78,75,3.09,GF,1618635287
368,Baharly,38.4362,57.4316,294.26,41,1,2.5,TM,1618635288
369,Jiexiu,37.0244,111.9125,287.34,13,0,2.42,CN,1618635288
370,Mackay,-21.15,149.2,300.15,69,75,5.14,AU,1618635015
371,Laas,46.6166,10.7002,275.37,80,0,2.06,IT,1618635289
373,Guangyuan,32.442,105.823,294.13,58,97,2.43,CN,1618635290
374,Lorengau,-2.0226,147.2712,301.9,77,93,3.7,PG,1618635290
376,Khani,41.9563,42.9566,285.15,87,90,2.06,GE,1618635291
377,Coahuayana Viejo,18.7333,-103.6833,293.77,74,0,1.46,MX,1618635292
378,Westport,41.1415,-73.3579,279.82,1,95,5.08,US,1618635245
379,Berlin,52.5244,13.4105,279.82,61,0,4.12,DE,1618635234
380,Padang,-0.9492,100.3543,301.15,74,40,1.54,ID,1618635292
381,Labytnangi,66.6572,66.4183,260.48,88,100,3.71,RU,1618635293
382,Sola,-13.8833,167.55,301.33,71,17,6.62,VU,1618635293
384,Auburn,47.3073,-122.2284,289.82,34,0,1.39,US,1618635025
386,Inhambane,-23.865,35.3833,293.15,73,75,4.12,MZ,1618635294
387,Yeppoon,-23.1333,150.7333,301.15,51,75,4.12,AU,1618635294
388,Jining,35.405,116.5814,290.46,17,0,6.14,CN,1618635294
389,Alyangula,-13.8483,136.4192,304.15,55,77,4.63,AU,1618635295
390,Quatre Cocos,-20.2078,57.7625,302.04,83,75,5.14,MU,1618635295
391,Taunggyi,20.7833,97.0333,288.27,90,100,2.43,MM,1618635295
392,Itaituba,-4.2761,-55.9836,296.19,97,100,1.79,BR,1618635296
393,Tabuk,17.4189,121.4443,306.01,46,98,3.24,PH,1618635296
394,Takoradze,4.8845,-1.7554,299.0,83,90,2.11,GH,1618635296
395,Médéa,36.2642,2.7539,283.15,93,75,1.54,DZ,1618635297
397,Fomboni,-12.28,43.7425,300.56,79,100,6.72,KM,1618635297
398,Huntly,57.4474,-2.7861,279.26,69,93,0.89,GB,1618635298
399,São Félix do Xingu,-6.6447,-51.995,294.74,99,100,0.11,BR,1618635232
